x,y,z
3.240000000000000000e+02,2.000000000000000000e+02,8.511571288108825684e-01
3.860000000000000000e+02,2.000000000000000000e+02,8.395327925682067871e-01
4.480000000000000000e+02,2.000000000000000000e+02,8.897220492362976074e-01
5.100000000000000000e+02,2.000000000000000000e+02,8.911917805671691895e-01
5.720000000000000000e+02,2.000000000000000000e+02,9.161305427551269531e-01
6.340000000000000000e+02,2.000000000000000000e+02,9.152408838272094727e-01
6.960000000000000000e+02,2.000000000000000000e+02,9.220766425132751465e-01
7.580000000000000000e+02,2.000000000000000000e+02,9.162453413009643555e-01
8.200000000000000000e+02,2.000000000000000000e+02,9.194016456604003906e-01
8.820000000000000000e+02,2.000000000000000000e+02,9.075539112091064453e-01
9.440000000000000000e+02,2.000000000000000000e+02,9.047755599021911621e-01
1.006000000000000000e+03,2.000000000000000000e+02,9.026594758033752441e-01
1.068000000000000000e+03,2.000000000000000000e+02,9.130451083183288574e-01
3.240000000000000000e+02,2.160000000000000000e+02,8.563771843910217285e-01
3.860000000000000000e+02,2.160000000000000000e+02,8.491998314857482910e-01
4.480000000000000000e+02,2.160000000000000000e+02,8.592242598533630371e-01
5.100000000000000000e+02,2.160000000000000000e+02,8.930230736732482910e-01
5.720000000000000000e+02,2.160000000000000000e+02,9.064642190933227539e-01
6.340000000000000000e+02,2.160000000000000000e+02,9.160205125808715820e-01
6.960000000000000000e+02,2.160000000000000000e+02,9.134854674339294434e-01
7.580000000000000000e+02,2.160000000000000000e+02,9.181049466133117676e-01
8.200000000000000000e+02,2.160000000000000000e+02,9.176576733589172363e-01
8.820000000000000000e+02,2.160000000000000000e+02,9.030077457427978516e-01
9.440000000000000000e+02,2.160000000000000000e+02,8.915160298347473145e-01
1.006000000000000000e+03,2.160000000000000000e+02,8.852323889732360840e-01
1.068000000000000000e+03,2.160000000000000000e+02,8.965987563133239746e-01
3.240000000000000000e+02,2.320000000000000000e+02,8.674572706222534180e-01
3.860000000000000000e+02,2.320000000000000000e+02,8.405641913414001465e-01
4.480000000000000000e+02,2.320000000000000000e+02,8.491134643554687500e-01
5.100000000000000000e+02,2.320000000000000000e+02,8.937513232231140137e-01
5.720000000000000000e+02,2.320000000000000000e+02,8.961034417152404785e-01
6.340000000000000000e+02,2.320000000000000000e+02,8.958592414855957031e-01
6.960000000000000000e+02,2.320000000000000000e+02,9.047058224678039551e-01
7.580000000000000000e+02,2.320000000000000000e+02,9.166878461837768555e-01
8.200000000000000000e+02,2.320000000000000000e+02,9.199274182319641113e-01
8.820000000000000000e+02,2.320000000000000000e+02,9.050953388214111328e-01
9.440000000000000000e+02,2.320000000000000000e+02,8.911907672882080078e-01
1.006000000000000000e+03,2.320000000000000000e+02,8.862334489822387695e-01
1.068000000000000000e+03,2.320000000000000000e+02,8.881061077117919922e-01
3.240000000000000000e+02,2.480000000000000000e+02,8.514165282249450684e-01
3.860000000000000000e+02,2.480000000000000000e+02,8.628395199775695801e-01
4.480000000000000000e+02,2.480000000000000000e+02,8.667944073677062988e-01
5.100000000000000000e+02,2.480000000000000000e+02,8.766760826110839844e-01
5.720000000000000000e+02,2.480000000000000000e+02,8.822625875473022461e-01
6.340000000000000000e+02,2.480000000000000000e+02,8.883236646652221680e-01
6.960000000000000000e+02,2.480000000000000000e+02,9.025124907493591309e-01
7.580000000000000000e+02,2.480000000000000000e+02,9.016673564910888672e-01
8.200000000000000000e+02,2.480000000000000000e+02,9.052410721778869629e-01
8.820000000000000000e+02,2.480000000000000000e+02,9.010716080665588379e-01
9.440000000000000000e+02,2.480000000000000000e+02,8.864637017250061035e-01
1.006000000000000000e+03,2.480000000000000000e+02,8.825814127922058105e-01
1.068000000000000000e+03,2.480000000000000000e+02,9.029871225357055664e-01
2.620000000000000000e+02,2.640000000000000000e+02,9.353995323181152344e-01
