x,y,z
9.440000000000000000e+02,2.160000000000000000e+02,8.561776876449584961e-01
6.960000000000000000e+02,2.320000000000000000e+02,1.235598564147949219e+00
8.200000000000000000e+02,2.320000000000000000e+02,8.506431579589843750e-01
8.820000000000000000e+02,2.320000000000000000e+02,8.282163143157958984e-01
8.200000000000000000e+02,2.480000000000000000e+02,8.683072924613952637e-01
8.820000000000000000e+02,2.480000000000000000e+02,8.462088704109191895e-01
6.340000000000000000e+02,2.640000000000000000e+02,1.192556738853454590e+00
6.960000000000000000e+02,2.640000000000000000e+02,1.045205712318420410e+00
8.200000000000000000e+02,2.640000000000000000e+02,9.599014520645141602e-01
8.820000000000000000e+02,2.640000000000000000e+02,8.214347958564758301e-01
5.100000000000000000e+02,2.800000000000000000e+02,2.245820522308349609e+00
6.340000000000000000e+02,2.800000000000000000e+02,1.314835548400878906e+00
6.960000000000000000e+02,2.800000000000000000e+02,1.085891485214233398e+00
7.580000000000000000e+02,2.800000000000000000e+02,9.933794140815734863e-01
8.200000000000000000e+02,2.800000000000000000e+02,8.932250142097473145e-01
8.820000000000000000e+02,2.800000000000000000e+02,7.651324272155761719e-01
6.960000000000000000e+02,2.960000000000000000e+02,1.062974333763122559e+00
7.580000000000000000e+02,2.960000000000000000e+02,1.017039179801940918e+00
8.200000000000000000e+02,2.960000000000000000e+02,9.590073227882385254e-01
6.340000000000000000e+02,3.120000000000000000e+02,1.101332902908325195e+00
6.960000000000000000e+02,3.120000000000000000e+02,1.064826846122741699e+00
8.200000000000000000e+02,3.120000000000000000e+02,9.080271124839782715e-01
5.720000000000000000e+02,3.280000000000000000e+02,1.294867277145385742e+00
6.340000000000000000e+02,3.280000000000000000e+02,1.068755626678466797e+00
6.960000000000000000e+02,3.280000000000000000e+02,1.066990256309509277e+00
7.580000000000000000e+02,3.280000000000000000e+02,8.749114274978637695e-01
8.200000000000000000e+02,3.280000000000000000e+02,9.830654859542846680e-01
5.100000000000000000e+02,3.440000000000000000e+02,1.236301064491271973e+00
5.720000000000000000e+02,3.440000000000000000e+02,1.294036507606506348e+00
6.340000000000000000e+02,3.440000000000000000e+02,1.109789609909057617e+00
6.960000000000000000e+02,3.440000000000000000e+02,1.084089994430541992e+00
7.580000000000000000e+02,3.440000000000000000e+02,8.806041479110717773e-01
6.340000000000000000e+02,3.600000000000000000e+02,1.100928068161010742e+00
6.960000000000000000e+02,3.600000000000000000e+02,1.048686504364013672e+00
7.580000000000000000e+02,3.600000000000000000e+02,8.882617354393005371e-01
8.200000000000000000e+02,3.600000000000000000e+02,9.240416884422302246e-01
5.100000000000000000e+02,3.760000000000000000e+02,1.264404296875000000e+00
5.720000000000000000e+02,3.760000000000000000e+02,1.193779706954956055e+00
