x,y,z
3.860000000000000000e+02,2.000000000000000000e+02,8.693299889564514160e-01
4.480000000000000000e+02,2.000000000000000000e+02,8.695909380912780762e-01
5.100000000000000000e+02,2.000000000000000000e+02,8.670253157615661621e-01
5.720000000000000000e+02,2.000000000000000000e+02,8.824663758277893066e-01
6.340000000000000000e+02,2.000000000000000000e+02,8.839407563209533691e-01
6.960000000000000000e+02,2.000000000000000000e+02,8.771585822105407715e-01
7.580000000000000000e+02,2.000000000000000000e+02,9.038956165313720703e-01
8.200000000000000000e+02,2.000000000000000000e+02,8.633757829666137695e-01
8.820000000000000000e+02,2.000000000000000000e+02,8.671422004699707031e-01
9.440000000000000000e+02,2.000000000000000000e+02,8.655632734298706055e-01
1.006000000000000000e+03,2.000000000000000000e+02,8.880206346511840820e-01
1.068000000000000000e+03,2.000000000000000000e+02,8.514953851699829102e-01
3.860000000000000000e+02,2.160000000000000000e+02,8.537505269050598145e-01
4.480000000000000000e+02,2.160000000000000000e+02,8.655992746353149414e-01
5.100000000000000000e+02,2.160000000000000000e+02,8.679013252258300781e-01
5.720000000000000000e+02,2.160000000000000000e+02,8.763322234153747559e-01
6.340000000000000000e+02,2.160000000000000000e+02,8.799223303794860840e-01
6.960000000000000000e+02,2.160000000000000000e+02,8.824206590652465820e-01
7.580000000000000000e+02,2.160000000000000000e+02,8.690574765205383301e-01
8.200000000000000000e+02,2.160000000000000000e+02,8.719791173934936523e-01
8.820000000000000000e+02,2.160000000000000000e+02,8.734038472175598145e-01
9.440000000000000000e+02,2.160000000000000000e+02,8.574641346931457520e-01
1.006000000000000000e+03,2.160000000000000000e+02,8.782349228858947754e-01
1.068000000000000000e+03,2.160000000000000000e+02,8.506138324737548828e-01
4.480000000000000000e+02,2.320000000000000000e+02,8.537261486053466797e-01
5.100000000000000000e+02,2.320000000000000000e+02,8.703734874725341797e-01
5.720000000000000000e+02,2.320000000000000000e+02,8.717627525329589844e-01
6.340000000000000000e+02,2.320000000000000000e+02,8.827295899391174316e-01
6.960000000000000000e+02,2.320000000000000000e+02,8.755071163177490234e-01
7.580000000000000000e+02,2.320000000000000000e+02,8.756541609764099121e-01
8.200000000000000000e+02,2.320000000000000000e+02,8.619638681411743164e-01
8.820000000000000000e+02,2.320000000000000000e+02,8.655598163604736328e-01
9.440000000000000000e+02,2.320000000000000000e+02,8.628093004226684570e-01
1.006000000000000000e+03,2.320000000000000000e+02,8.837178945541381836e-01
1.068000000000000000e+03,2.320000000000000000e+02,8.776767849922180176e-01
4.480000000000000000e+02,2.480000000000000000e+02,8.558353185653686523e-01
5.100000000000000000e+02,2.480000000000000000e+02,8.664213418960571289e-01
5.720000000000000000e+02,2.480000000000000000e+02,8.520152568817138672e-01
6.340000000000000000e+02,2.480000000000000000e+02,8.710380792617797852e-01
6.960000000000000000e+02,2.480000000000000000e+02,8.706457018852233887e-01
7.580000000000000000e+02,2.480000000000000000e+02,8.712806701660156250e-01
8.200000000000000000e+02,2.480000000000000000e+02,8.386852741241455078e-01
8.820000000000000000e+02,2.480000000000000000e+02,8.626518249511718750e-01
9.440000000000000000e+02,2.480000000000000000e+02,8.544259667396545410e-01
1.006000000000000000e+03,2.480000000000000000e+02,8.582799434661865234e-01
1.068000000000000000e+03,2.480000000000000000e+02,8.963765501976013184e-01
3.860000000000000000e+02,2.640000000000000000e+02,8.283388018608093262e-01
4.480000000000000000e+02,2.640000000000000000e+02,8.407789468765258789e-01
5.100000000000000000e+02,2.640000000000000000e+02,8.628288507461547852e-01
5.720000000000000000e+02,2.640000000000000000e+02,8.447542786598205566e-01
6.340000000000000000e+02,2.640000000000000000e+02,8.643872141838073730e-01
6.960000000000000000e+02,2.640000000000000000e+02,8.504570722579956055e-01
7.580000000000000000e+02,2.640000000000000000e+02,8.602156043052673340e-01
8.200000000000000000e+02,2.640000000000000000e+02,8.367527723312377930e-01
8.820000000000000000e+02,2.640000000000000000e+02,8.438358902931213379e-01
9.440000000000000000e+02,2.640000000000000000e+02,8.664085865020751953e-01
1.006000000000000000e+03,2.640000000000000000e+02,8.575193881988525391e-01
1.068000000000000000e+03,2.640000000000000000e+02,9.164304137229919434e-01
4.480000000000000000e+02,2.800000000000000000e+02,8.422700762748718262e-01
5.100000000000000000e+02,2.800000000000000000e+02,8.571121096611022949e-01
5.720000000000000000e+02,2.800000000000000000e+02,8.382361531257629395e-01
6.340000000000000000e+02,2.800000000000000000e+02,8.700015544891357422e-01
6.960000000000000000e+02,2.800000000000000000e+02,8.607029914855957031e-01
7.580000000000000000e+02,2.800000000000000000e+02,8.627832531929016113e-01
8.200000000000000000e+02,2.800000000000000000e+02,8.547046184539794922e-01
8.820000000000000000e+02,2.800000000000000000e+02,8.506956696510314941e-01
9.440000000000000000e+02,2.800000000000000000e+02,8.418869972229003906e-01
1.006000000000000000e+03,2.800000000000000000e+02,8.562113046646118164e-01
1.068000000000000000e+03,2.800000000000000000e+02,8.273172974586486816e-01
2.000000000000000000e+02,2.960000000000000000e+02,1.775998950004577637e+00
4.480000000000000000e+02,2.960000000000000000e+02,8.373938798904418945e-01
5.100000000000000000e+02,2.960000000000000000e+02,8.620178103446960449e-01
5.720000000000000000e+02,2.960000000000000000e+02,8.436265587806701660e-01
6.340000000000000000e+02,2.960000000000000000e+02,8.386649489402770996e-01
6.960000000000000000e+02,2.960000000000000000e+02,8.590922355651855469e-01
7.580000000000000000e+02,2.960000000000000000e+02,8.465562462806701660e-01
8.200000000000000000e+02,2.960000000000000000e+02,8.220723867416381836e-01
8.820000000000000000e+02,2.960000000000000000e+02,8.345109820365905762e-01
9.440000000000000000e+02,2.960000000000000000e+02,8.253740668296813965e-01
1.006000000000000000e+03,2.960000000000000000e+02,8.402683734893798828e-01
1.068000000000000000e+03,2.960000000000000000e+02,8.844218254089355469e-01
2.000000000000000000e+02,3.120000000000000000e+02,1.790776968002319336e+00
4.480000000000000000e+02,3.120000000000000000e+02,8.154124617576599121e-01
5.100000000000000000e+02,3.120000000000000000e+02,8.361746072769165039e-01
5.720000000000000000e+02,3.120000000000000000e+02,8.250125646591186523e-01
6.340000000000000000e+02,3.120000000000000000e+02,8.448191285133361816e-01
6.960000000000000000e+02,3.120000000000000000e+02,8.434513211250305176e-01
7.580000000000000000e+02,3.120000000000000000e+02,8.569349646568298340e-01
8.200000000000000000e+02,3.120000000000000000e+02,8.498246073722839355e-01
8.820000000000000000e+02,3.120000000000000000e+02,8.431864976882934570e-01
9.440000000000000000e+02,3.120000000000000000e+02,8.217967152595520020e-01
1.006000000000000000e+03,3.120000000000000000e+02,8.403484225273132324e-01
4.480000000000000000e+02,3.280000000000000000e+02,7.185571193695068359e-01
5.100000000000000000e+02,3.280000000000000000e+02,8.446418642997741699e-01
5.720000000000000000e+02,3.280000000000000000e+02,8.424398303031921387e-01
6.340000000000000000e+02,3.280000000000000000e+02,8.247122764587402344e-01
6.960000000000000000e+02,3.280000000000000000e+02,8.476880788803100586e-01
7.580000000000000000e+02,3.280000000000000000e+02,8.344262838363647461e-01
8.200000000000000000e+02,3.280000000000000000e+02,8.309197425842285156e-01
8.820000000000000000e+02,3.280000000000000000e+02,8.264628648757934570e-01
9.440000000000000000e+02,3.280000000000000000e+02,8.221279382705688477e-01
1.006000000000000000e+03,3.280000000000000000e+02,8.413125872611999512e-01
1.068000000000000000e+03,3.280000000000000000e+02,7.985687851905822754e-01
4.480000000000000000e+02,3.440000000000000000e+02,8.413404226303100586e-01
5.100000000000000000e+02,3.440000000000000000e+02,8.324758410453796387e-01
5.720000000000000000e+02,3.440000000000000000e+02,8.230561614036560059e-01
6.340000000000000000e+02,3.440000000000000000e+02,8.222104907035827637e-01
6.960000000000000000e+02,3.440000000000000000e+02,8.453461527824401855e-01
7.580000000000000000e+02,3.440000000000000000e+02,8.114368319511413574e-01
8.200000000000000000e+02,3.440000000000000000e+02,8.273754119873046875e-01
8.820000000000000000e+02,3.440000000000000000e+02,8.146623969078063965e-01
9.440000000000000000e+02,3.440000000000000000e+02,7.996174693107604980e-01
1.006000000000000000e+03,3.440000000000000000e+02,8.175964951515197754e-01
1.068000000000000000e+03,3.440000000000000000e+02,7.927917242050170898e-01
3.860000000000000000e+02,3.600000000000000000e+02,8.107315897941589355e-01
4.480000000000000000e+02,3.600000000000000000e+02,8.397955298423767090e-01
5.100000000000000000e+02,3.600000000000000000e+02,7.290861010551452637e-01
5.720000000000000000e+02,3.600000000000000000e+02,8.395326733589172363e-01
6.340000000000000000e+02,3.600000000000000000e+02,8.327284455299377441e-01
6.960000000000000000e+02,3.600000000000000000e+02,8.344265818595886230e-01
7.580000000000000000e+02,3.600000000000000000e+02,8.118367791175842285e-01
8.200000000000000000e+02,3.600000000000000000e+02,8.019821047782897949e-01
8.820000000000000000e+02,3.600000000000000000e+02,8.154547214508056641e-01
9.440000000000000000e+02,3.600000000000000000e+02,8.070180416107177734e-01
1.006000000000000000e+03,3.600000000000000000e+02,7.957442402839660645e-01
4.480000000000000000e+02,3.760000000000000000e+02,8.367487192153930664e-01
5.100000000000000000e+02,3.760000000000000000e+02,8.413611054420471191e-01
5.720000000000000000e+02,3.760000000000000000e+02,7.245620489120483398e-01
