x,y,z
2.000000000000000000e+02,2.000000000000000000e+02,8.834986686706542969e-01
2.620000000000000000e+02,2.000000000000000000e+02,8.981656432151794434e-01
3.240000000000000000e+02,2.000000000000000000e+02,9.121129512786865234e-01
3.860000000000000000e+02,2.000000000000000000e+02,9.089422821998596191e-01
4.480000000000000000e+02,2.000000000000000000e+02,8.957486152648925781e-01
5.100000000000000000e+02,2.000000000000000000e+02,8.900108337402343750e-01
5.720000000000000000e+02,2.000000000000000000e+02,8.836184740066528320e-01
6.340000000000000000e+02,2.000000000000000000e+02,8.652638196945190430e-01
6.960000000000000000e+02,2.000000000000000000e+02,8.732540011405944824e-01
7.580000000000000000e+02,2.000000000000000000e+02,8.525136709213256836e-01
8.200000000000000000e+02,2.000000000000000000e+02,8.366024494171142578e-01
8.820000000000000000e+02,2.000000000000000000e+02,8.259648680686950684e-01
9.440000000000000000e+02,2.000000000000000000e+02,8.260002732276916504e-01
1.006000000000000000e+03,2.000000000000000000e+02,8.042747974395751953e-01
1.068000000000000000e+03,2.000000000000000000e+02,8.078400492668151855e-01
2.000000000000000000e+02,2.160000000000000000e+02,8.820319175720214844e-01
2.620000000000000000e+02,2.160000000000000000e+02,8.947535157203674316e-01
3.240000000000000000e+02,2.160000000000000000e+02,9.121527075767517090e-01
3.860000000000000000e+02,2.160000000000000000e+02,9.051668643951416016e-01
4.480000000000000000e+02,2.160000000000000000e+02,9.028759002685546875e-01
5.100000000000000000e+02,2.160000000000000000e+02,8.738477826118469238e-01
5.720000000000000000e+02,2.160000000000000000e+02,8.761308789253234863e-01
6.340000000000000000e+02,2.160000000000000000e+02,8.614435791969299316e-01
6.960000000000000000e+02,2.160000000000000000e+02,8.548468947410583496e-01
7.580000000000000000e+02,2.160000000000000000e+02,8.443249464035034180e-01
8.200000000000000000e+02,2.160000000000000000e+02,8.364182114601135254e-01
8.820000000000000000e+02,2.160000000000000000e+02,8.140758275985717773e-01
9.440000000000000000e+02,2.160000000000000000e+02,8.139429688453674316e-01
1.006000000000000000e+03,2.160000000000000000e+02,8.174838423728942871e-01
1.068000000000000000e+03,2.160000000000000000e+02,8.189373016357421875e-01
2.000000000000000000e+02,2.320000000000000000e+02,8.934386968612670898e-01
2.620000000000000000e+02,2.320000000000000000e+02,8.862840533256530762e-01
3.240000000000000000e+02,2.320000000000000000e+02,8.927595019340515137e-01
3.860000000000000000e+02,2.320000000000000000e+02,9.027829170227050781e-01
4.480000000000000000e+02,2.320000000000000000e+02,9.033557176589965820e-01
5.100000000000000000e+02,2.320000000000000000e+02,8.810684680938720703e-01
5.720000000000000000e+02,2.320000000000000000e+02,8.705114126205444336e-01
6.340000000000000000e+02,2.320000000000000000e+02,8.745122551918029785e-01
6.960000000000000000e+02,2.320000000000000000e+02,8.620499372482299805e-01
7.580000000000000000e+02,2.320000000000000000e+02,8.412550091743469238e-01
8.200000000000000000e+02,2.320000000000000000e+02,8.134975433349609375e-01
8.820000000000000000e+02,2.320000000000000000e+02,8.083937168121337891e-01
9.440000000000000000e+02,2.320000000000000000e+02,8.104176521301269531e-01
1.006000000000000000e+03,2.320000000000000000e+02,7.869316935539245605e-01
1.068000000000000000e+03,2.320000000000000000e+02,7.702529430389404297e-01
2.000000000000000000e+02,2.480000000000000000e+02,8.772130012512207031e-01
2.620000000000000000e+02,2.480000000000000000e+02,8.841544985771179199e-01
3.240000000000000000e+02,2.480000000000000000e+02,8.928190469741821289e-01
3.860000000000000000e+02,2.480000000000000000e+02,9.038033485412597656e-01
4.480000000000000000e+02,2.480000000000000000e+02,8.903797268867492676e-01
5.100000000000000000e+02,2.480000000000000000e+02,8.700266480445861816e-01
5.720000000000000000e+02,2.480000000000000000e+02,8.698214888572692871e-01
6.340000000000000000e+02,2.480000000000000000e+02,8.616861701011657715e-01
6.960000000000000000e+02,2.480000000000000000e+02,8.581146001815795898e-01
7.580000000000000000e+02,2.480000000000000000e+02,8.544543385505676270e-01
8.200000000000000000e+02,2.480000000000000000e+02,8.285658955574035645e-01
8.820000000000000000e+02,2.480000000000000000e+02,8.330255150794982910e-01
9.440000000000000000e+02,2.480000000000000000e+02,7.982384562492370605e-01
1.006000000000000000e+03,2.480000000000000000e+02,7.936949133872985840e-01
2.000000000000000000e+02,2.640000000000000000e+02,8.732078075408935547e-01
2.620000000000000000e+02,2.640000000000000000e+02,8.933865427970886230e-01
3.240000000000000000e+02,2.640000000000000000e+02,9.042653441429138184e-01
3.860000000000000000e+02,2.640000000000000000e+02,8.951075077056884766e-01
4.480000000000000000e+02,2.640000000000000000e+02,8.852375745773315430e-01
5.100000000000000000e+02,2.640000000000000000e+02,8.728151917457580566e-01
5.720000000000000000e+02,2.640000000000000000e+02,8.737887740135192871e-01
6.340000000000000000e+02,2.640000000000000000e+02,8.566565513610839844e-01
6.960000000000000000e+02,2.640000000000000000e+02,8.424658775329589844e-01
7.580000000000000000e+02,2.640000000000000000e+02,8.393587470054626465e-01
8.200000000000000000e+02,2.640000000000000000e+02,8.156008720397949219e-01
8.820000000000000000e+02,2.640000000000000000e+02,8.341150879859924316e-01
9.440000000000000000e+02,2.640000000000000000e+02,8.195572495460510254e-01
1.006000000000000000e+03,2.640000000000000000e+02,7.557168602943420410e-01
1.068000000000000000e+03,2.640000000000000000e+02,7.912696003913879395e-01
2.000000000000000000e+02,2.800000000000000000e+02,8.615054488182067871e-01
2.620000000000000000e+02,2.800000000000000000e+02,8.794664740562438965e-01
3.240000000000000000e+02,2.800000000000000000e+02,9.109965562820434570e-01
3.860000000000000000e+02,2.800000000000000000e+02,8.976686000823974609e-01
4.480000000000000000e+02,2.800000000000000000e+02,8.912625908851623535e-01
5.100000000000000000e+02,2.800000000000000000e+02,8.787163496017456055e-01
5.720000000000000000e+02,2.800000000000000000e+02,8.604314923286437988e-01
6.340000000000000000e+02,2.800000000000000000e+02,8.726692199707031250e-01
6.960000000000000000e+02,2.800000000000000000e+02,8.473049402236938477e-01
7.580000000000000000e+02,2.800000000000000000e+02,8.314690589904785156e-01
8.200000000000000000e+02,2.800000000000000000e+02,8.151254057884216309e-01
8.820000000000000000e+02,2.800000000000000000e+02,7.984709739685058594e-01
9.440000000000000000e+02,2.800000000000000000e+02,8.030480146408081055e-01
1.068000000000000000e+03,2.800000000000000000e+02,7.756380438804626465e-01
2.000000000000000000e+02,2.960000000000000000e+02,8.853948116302490234e-01
2.620000000000000000e+02,2.960000000000000000e+02,8.475649952888488770e-01
3.240000000000000000e+02,2.960000000000000000e+02,8.870189189910888672e-01
3.860000000000000000e+02,2.960000000000000000e+02,8.837912678718566895e-01
4.480000000000000000e+02,2.960000000000000000e+02,8.871127367019653320e-01
5.100000000000000000e+02,2.960000000000000000e+02,8.673692941665649414e-01
5.720000000000000000e+02,2.960000000000000000e+02,8.693632483482360840e-01
6.340000000000000000e+02,2.960000000000000000e+02,8.752004504203796387e-01
6.960000000000000000e+02,2.960000000000000000e+02,8.453469872474670410e-01
7.580000000000000000e+02,2.960000000000000000e+02,8.225659728050231934e-01
8.200000000000000000e+02,2.960000000000000000e+02,8.075983524322509766e-01
8.820000000000000000e+02,2.960000000000000000e+02,8.182996511459350586e-01
9.440000000000000000e+02,2.960000000000000000e+02,8.110464215278625488e-01
1.006000000000000000e+03,2.960000000000000000e+02,7.806551456451416016e-01
2.000000000000000000e+02,3.120000000000000000e+02,8.748128414154052734e-01
2.620000000000000000e+02,3.120000000000000000e+02,8.638174533843994141e-01
3.240000000000000000e+02,3.120000000000000000e+02,8.981550335884094238e-01
3.860000000000000000e+02,3.120000000000000000e+02,8.838277459144592285e-01
4.480000000000000000e+02,3.120000000000000000e+02,8.821570873260498047e-01
5.100000000000000000e+02,3.120000000000000000e+02,8.717591166496276855e-01
5.720000000000000000e+02,3.120000000000000000e+02,8.618523478507995605e-01
6.340000000000000000e+02,3.120000000000000000e+02,8.484655022621154785e-01
6.960000000000000000e+02,3.120000000000000000e+02,8.338603377342224121e-01
7.580000000000000000e+02,3.120000000000000000e+02,8.359798192977905273e-01
8.200000000000000000e+02,3.120000000000000000e+02,8.012362122535705566e-01
8.820000000000000000e+02,3.120000000000000000e+02,8.097196221351623535e-01
9.440000000000000000e+02,3.120000000000000000e+02,8.364691734313964844e-01
1.006000000000000000e+03,3.120000000000000000e+02,7.407342791557312012e-01
1.068000000000000000e+03,3.120000000000000000e+02,7.333313226699829102e-01
2.000000000000000000e+02,3.280000000000000000e+02,8.476074337959289551e-01
2.620000000000000000e+02,3.280000000000000000e+02,8.533341884613037109e-01
3.240000000000000000e+02,3.280000000000000000e+02,8.979179263114929199e-01
3.860000000000000000e+02,3.280000000000000000e+02,8.730978965759277344e-01
4.480000000000000000e+02,3.280000000000000000e+02,8.884128332138061523e-01
5.100000000000000000e+02,3.280000000000000000e+02,8.676152825355529785e-01
5.720000000000000000e+02,3.280000000000000000e+02,8.609998822212219238e-01
6.340000000000000000e+02,3.280000000000000000e+02,8.438480496406555176e-01
6.960000000000000000e+02,3.280000000000000000e+02,8.290628194808959961e-01
7.580000000000000000e+02,3.280000000000000000e+02,8.163393139839172363e-01
8.200000000000000000e+02,3.280000000000000000e+02,8.022845983505249023e-01
8.820000000000000000e+02,3.280000000000000000e+02,7.955107688903808594e-01
9.440000000000000000e+02,3.280000000000000000e+02,7.733010053634643555e-01
1.006000000000000000e+03,3.280000000000000000e+02,7.332159280776977539e-01
2.000000000000000000e+02,3.440000000000000000e+02,7.392365336418151855e-01
2.620000000000000000e+02,3.440000000000000000e+02,8.709493279457092285e-01
3.240000000000000000e+02,3.440000000000000000e+02,9.051061272621154785e-01
3.860000000000000000e+02,3.440000000000000000e+02,8.835824728012084961e-01
4.480000000000000000e+02,3.440000000000000000e+02,8.779886364936828613e-01
5.100000000000000000e+02,3.440000000000000000e+02,8.752287030220031738e-01
5.720000000000000000e+02,3.440000000000000000e+02,8.593115806579589844e-01
6.340000000000000000e+02,3.440000000000000000e+02,8.296876549720764160e-01
6.960000000000000000e+02,3.440000000000000000e+02,8.262029290199279785e-01
7.580000000000000000e+02,3.440000000000000000e+02,8.156166076660156250e-01
8.200000000000000000e+02,3.440000000000000000e+02,7.998511791229248047e-01
9.440000000000000000e+02,3.440000000000000000e+02,7.599272727966308594e-01
1.006000000000000000e+03,3.440000000000000000e+02,7.516762614250183105e-01
1.068000000000000000e+03,3.440000000000000000e+02,7.817777395248413086e-01
2.000000000000000000e+02,3.600000000000000000e+02,8.455294966697692871e-01
