x,y,z
8.820000000000000000e+02,2.480000000000000000e+02,1.191056370735168457e+00
8.820000000000000000e+02,3.760000000000000000e+02,1.108676910400390625e+00
8.820000000000000000e+02,3.920000000000000000e+02,1.119293928146362305e+00
8.820000000000000000e+02,4.080000000000000000e+02,1.122879266738891602e+00
8.820000000000000000e+02,4.240000000000000000e+02,1.124815225601196289e+00
5.100000000000000000e+02,4.560000000000000000e+02,1.134978413581848145e+00
8.820000000000000000e+02,4.560000000000000000e+02,1.166503310203552246e+00
6.960000000000000000e+02,4.720000000000000000e+02,1.136703729629516602e+00
5.100000000000000000e+02,4.880000000000000000e+02,1.166027188301086426e+00
5.100000000000000000e+02,5.040000000000000000e+02,1.154397845268249512e+00
8.820000000000000000e+02,5.040000000000000000e+02,1.185613512992858887e+00
