x,y,z
6.960000000000000000e+02,2.160000000000000000e+02,1.240030527114868164e+00
6.340000000000000000e+02,2.320000000000000000e+02,1.078971743583679199e+00
8.200000000000000000e+02,2.640000000000000000e+02,9.109058976173400879e-01
6.340000000000000000e+02,2.800000000000000000e+02,1.062807440757751465e+00
6.340000000000000000e+02,2.960000000000000000e+02,1.080279231071472168e+00
6.340000000000000000e+02,3.120000000000000000e+02,1.074181437492370605e+00
6.960000000000000000e+02,3.120000000000000000e+02,1.027960062026977539e+00
7.580000000000000000e+02,3.120000000000000000e+02,9.817598462104797363e-01
6.340000000000000000e+02,3.280000000000000000e+02,1.104593634605407715e+00
6.960000000000000000e+02,3.280000000000000000e+02,1.022988080978393555e+00
7.580000000000000000e+02,3.280000000000000000e+02,9.880647063255310059e-01
6.960000000000000000e+02,3.440000000000000000e+02,1.060357332229614258e+00
7.580000000000000000e+02,3.440000000000000000e+02,9.848706722259521484e-01
8.200000000000000000e+02,3.440000000000000000e+02,9.986229538917541504e-01
5.720000000000000000e+02,3.600000000000000000e+02,1.206177473068237305e+00
6.340000000000000000e+02,3.600000000000000000e+02,1.123764514923095703e+00
6.960000000000000000e+02,3.600000000000000000e+02,1.071218848228454590e+00
7.580000000000000000e+02,3.600000000000000000e+02,9.797531366348266602e-01
8.200000000000000000e+02,3.600000000000000000e+02,1.003729581832885742e+00
5.100000000000000000e+02,3.760000000000000000e+02,1.187865734100341797e+00
6.340000000000000000e+02,3.760000000000000000e+02,1.111481666564941406e+00
6.960000000000000000e+02,3.760000000000000000e+02,1.178474187850952148e+00
7.580000000000000000e+02,3.760000000000000000e+02,9.984597563743591309e-01
5.100000000000000000e+02,3.920000000000000000e+02,1.197676301002502441e+00
5.720000000000000000e+02,3.920000000000000000e+02,1.162198901176452637e+00
6.340000000000000000e+02,3.920000000000000000e+02,1.033094763755798340e+00
7.580000000000000000e+02,3.920000000000000000e+02,9.926337599754333496e-01
5.100000000000000000e+02,4.080000000000000000e+02,1.225603580474853516e+00
5.720000000000000000e+02,4.080000000000000000e+02,1.295946598052978516e+00
6.340000000000000000e+02,4.080000000000000000e+02,1.107345581054687500e+00
6.960000000000000000e+02,4.080000000000000000e+02,1.199532628059387207e+00
7.580000000000000000e+02,4.080000000000000000e+02,9.629924297332763672e-01
4.480000000000000000e+02,4.240000000000000000e+02,1.250914573669433594e+00
5.100000000000000000e+02,4.240000000000000000e+02,1.262120842933654785e+00
5.720000000000000000e+02,4.240000000000000000e+02,1.050525307655334473e+00
6.340000000000000000e+02,4.240000000000000000e+02,1.009353756904602051e+00
6.960000000000000000e+02,4.240000000000000000e+02,1.023108601570129395e+00
3.240000000000000000e+02,4.400000000000000000e+02,9.585209488868713379e-01
4.480000000000000000e+02,4.400000000000000000e+02,1.279545187950134277e+00
5.100000000000000000e+02,4.400000000000000000e+02,1.204427838325500488e+00
5.720000000000000000e+02,4.400000000000000000e+02,1.101877689361572266e+00
4.480000000000000000e+02,4.560000000000000000e+02,1.305805921554565430e+00
5.100000000000000000e+02,4.560000000000000000e+02,1.187737703323364258e+00
5.720000000000000000e+02,4.560000000000000000e+02,9.908379316329956055e-01
4.480000000000000000e+02,4.720000000000000000e+02,1.300017714500427246e+00
5.100000000000000000e+02,4.720000000000000000e+02,1.162480354309082031e+00
6.960000000000000000e+02,4.720000000000000000e+02,8.469210267066955566e-01
4.480000000000000000e+02,4.880000000000000000e+02,1.312613248825073242e+00
5.100000000000000000e+02,4.880000000000000000e+02,1.174542427062988281e+00
6.340000000000000000e+02,4.880000000000000000e+02,9.385943412780761719e-01
6.960000000000000000e+02,4.880000000000000000e+02,1.046422600746154785e+00
4.480000000000000000e+02,5.040000000000000000e+02,9.583020806312561035e-01
5.100000000000000000e+02,5.040000000000000000e+02,1.190179467201232910e+00
6.340000000000000000e+02,5.040000000000000000e+02,9.321734905242919922e-01
6.960000000000000000e+02,5.040000000000000000e+02,8.252257704734802246e-01
