x,y,z
2.000000000000000000e+02,2.480000000000000000e+02,1.327308535575866699e+00
2.620000000000000000e+02,2.480000000000000000e+02,1.211686372756958008e+00
2.000000000000000000e+02,2.640000000000000000e+02,1.412064671516418457e+00
2.620000000000000000e+02,2.640000000000000000e+02,1.231708884239196777e+00
2.000000000000000000e+02,2.800000000000000000e+02,1.601221323013305664e+00
2.620000000000000000e+02,2.800000000000000000e+02,1.538752317428588867e+00
2.000000000000000000e+02,2.960000000000000000e+02,1.584563493728637695e+00
2.620000000000000000e+02,2.960000000000000000e+02,1.225112795829772949e+00
2.000000000000000000e+02,3.120000000000000000e+02,1.484623312950134277e+00
2.620000000000000000e+02,3.120000000000000000e+02,1.512292504310607910e+00
2.000000000000000000e+02,3.280000000000000000e+02,1.156810402870178223e+00
2.620000000000000000e+02,3.280000000000000000e+02,1.642899632453918457e+00
4.480000000000000000e+02,3.280000000000000000e+02,2.289309263229370117e+00
2.000000000000000000e+02,3.600000000000000000e+02,1.188564777374267578e+00
2.620000000000000000e+02,3.600000000000000000e+02,1.227125167846679688e+00
3.860000000000000000e+02,3.600000000000000000e+02,1.040437221527099609e+00
2.000000000000000000e+02,3.760000000000000000e+02,1.443487524986267090e+00
2.620000000000000000e+02,3.760000000000000000e+02,1.565937042236328125e+00
